City,Lat in Northern Hemisph,Lng in Northern Hemisph
Hong Kong,22.29,114.16
Yellowknife,62.46,-114.35
Thompson,55.74,-97.86
Rome,43.21,-75.46
Qaanaaq,77.48,-69.36
Batagay-Alyta,67.8,130.41
Ibra,22.69,58.53
Upernavik,72.79,-56.15
Liverpool,53.41,-2.98
Caramay,10.18,119.24
Mayo,38.89,-76.51
Naze,28.37,129.48
Riyadh,24.69,46.72
Ullal,12.8,74.85
Evensk,61.95,159.23
Hofn,64.25,-15.21
Hirara,24.8,125.28
Butaritari,3.07,172.79
Tiksi,71.69,128.87
Panzhihua,26.59,101.71
Goundi,9.36,17.37
Iqaluit,63.75,-68.51
San Quintin,30.48,-115.95
Sao Filipe,14.9,-24.5
Gwadar,25.12,62.33
George Town,5.41,100.34
Udachny,66.42,112.4
Lagoa,39.05,-27.98
Lethem,3.38,-59.8
Kiryat Gat,31.61,34.76
Ust-Tsilma,65.44,52.15
Ouahigouya,13.58,-2.42
Den Helder,52.96,4.76
Pangody,65.85,74.49
Pokhara,28.23,83.98
Albany,42.6,-73.97
Ponta do Sol,32.67,-17.1
Fairbanks,64.84,-147.72
Katsuura,35.13,140.3
Kapoeta,4.77,33.59
Severo-Kuril'sk,50.68,156.12
Tupik,54.43,119.93
Margate,51.38,1.39
Hobyo,5.35,48.53
Narathiwat,6.33,101.75
Khatanga,71.97,102.5
Salalah,17.02,54.09
Gryazovets,58.88,40.25
Broome,42.25,-75.83
Hasaki,35.73,140.83
Kapaa,22.08,-159.32
Lompoc,34.64,-120.46
Sept-Iles,50.2,-66.38
Tara,56.89,74.37
Ribeira Grande,38.52,-28.7
Virginia Beach,36.85,-75.98
Barrow,71.29,-156.79
Camacha,33.08,-16.33
Taoudenni,22.68,-3.98
Westport,41.14,-73.36
Mapiripan,2.89,-72.13
Jamestown,42.1,-79.24
Aleksandrovsk-Sakhalinskiy,50.9,142.16
Tasiilaq,65.61,-37.64
Stornoway,58.21,-6.39
Longyearbyen,78.22,15.64
Ilulissat,69.22,-51.1
Saskylakh,71.92,114.08
Tuktoyaktuk,69.45,-133.04
Alexandria,31.22,29.96
Marana,32.44,-111.23
Avanuorri,71.0,24.66
Palmer,42.16,-72.33
Grindavik,63.84,-22.43
Vrangel,42.73,133.08
Nome,64.5,-165.41
Lakota,5.85,-5.69
Longhua,23.61,114.19
Logan,41.74,-111.83
Berlevag,70.86,29.09
Bonavista,48.65,-53.11
Darhan,49.49,105.92
Smirnykh,49.75,142.83
Olafsvik,64.89,-23.71
Zboriv,49.66,25.14
Laguna,38.42,-121.42
Chokurdakh,70.63,147.92
Riviere-au-Renard,49.0,-64.4
Umm Kaddadah,13.6,26.69
Vardo,70.37,31.11
Okhotsk,59.38,143.3
Oxford,51.75,-1.26
Bonthe,7.53,-12.51
Qandala,11.47,49.87
Provideniya,64.38,-173.3
Trat,12.5,102.5
Lenoir City,35.8,-84.26
Sioux Lookout,50.1,-91.92
Kodiak,57.79,-152.41
Hilo,19.73,-155.09
Norman Wells,65.28,-126.83
Dikson,73.51,80.55
Fortuna,40.6,-124.16
Bethel,41.37,-73.41
Sitka,57.05,-135.33
Kuusamo,65.97,29.18
North Bend,43.41,-124.22
Klaksvik,62.23,-6.59
Zverinogolovskoye,54.46,64.85
Doha,25.29,51.53
Kadyy,57.79,43.19
Bathsheba,13.22,-59.52
Mikhaylovka,50.06,43.24
Torbay,47.67,-52.73
Severodvinsk,64.56,39.83
Novyy Urengoy,66.08,76.63
Platteville,42.73,-90.48
Asbury Park,40.22,-74.01
Hinton,53.4,-117.59
Zhalantun,48.0,122.72
Nanortalik,60.14,-45.24
Novikovo,51.15,37.89
Mandalgovi,45.76,106.27
Nioro,13.35,-15.75
Aklavik,68.22,-135.01
Pandan,14.05,124.17
Baruun-Urt,46.68,113.28
Limon,10.0,-83.03
Cherskiy,68.75,161.3
Baharly,38.44,57.43
Aktash,50.3,87.73
Mombetsu,44.35,143.35
Skjervoy,70.03,20.97
Along,28.17,94.77
Husum,54.49,9.05
Korgen,66.08,13.82
Yasnyy,51.03,59.87
Hurghada,27.26,33.81
Turan,16.07,108.22
Kailua,21.4,-157.74
Mogadishu,2.04,45.34
Saint George,37.1,-113.58
Urumqi,43.8,87.6
Havre-Saint-Pierre,50.23,-63.6
Cayenne,4.93,-52.33
Kathmandu,27.72,85.32
Kutum,14.2,24.67
Los Llanos de Aridane,28.66,-17.92
Khovd,48.01,91.64
Tullahoma,35.36,-86.21
Marawi,8.0,124.29
Elbistan,38.21,37.2
San Cristobal,7.77,-72.22
Isabela,6.71,121.97
Lynn Haven,30.25,-85.65
Luan,46.36,6.98
Haines Junction,60.75,-137.51
Lavrentiya,65.58,-171.0
Yatou,37.15,122.38
Phonhong,18.5,102.42
Setermoen,68.86,18.35
Birao,10.28,22.79
Massakory,13.0,15.73
Vila Franca do Campo,37.72,-25.43
Zhigansk,66.77,123.37
Kalmunai,7.42,81.82
Monrovia,6.3,-10.8
Herouville-Saint-Clair,49.21,-0.31
Muyezerskiy,63.93,31.65
Guerrero Negro,27.98,-114.06
Talnakh,69.49,88.4
La Mira,18.04,-102.33
Piney Green,34.72,-77.32
Lupac,45.28,21.81
Pala,9.36,14.9
Melbu,68.5,14.83
Kaduqli,11.02,29.72
Biu,10.61,12.19
Forsytheganj,52.63,29.73
Lata,40.16,-8.33
Pochutla,15.74,-96.47
Saiha,22.48,92.97
Maniitsoq,65.42,-52.9
Cockburn Town,21.46,-71.14
Chernyshevskiy,63.01,112.47
Cabo San Lucas,22.89,-109.91
Dingle,11.0,122.67
Aksarka,66.56,67.8
Marsh Harbour,26.54,-77.06
Nong Chik,6.84,101.18
Veraval,20.9,70.37
Saint-Francois,46.42,3.91
Kropotkin,45.44,40.58
Susangerd,31.56,48.18
Coos Bay,43.37,-124.22
Kuching,1.55,110.33
Dongzhen,22.38,110.94
Kidal,18.44,1.41
Sabang,5.89,95.32
Saint-Augustin,51.23,-58.65
Ust-Nera,64.57,143.2
Bandarbeyla,9.49,50.81
Soddy-Daisy,35.24,-85.19
Bilibino,68.05,166.44
Tallahassee,30.44,-84.28
Correggio,44.77,10.78
Puerto Escondido,15.85,-97.07
Aguimes,27.91,-15.45
La Asuncion,11.03,-63.86
Diffa,13.32,12.61
Kakamega,0.28,34.75
Durango,24.83,-104.83
Leningradskiy,69.38,178.42
