,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
236,Boende,81,CD,1578890490,73,-0.22,20.87,74.7,2.08
238,Vao,91,NC,1578890495,80,-22.67,167.48,77.9,21.47
239,Puerto Maldonado,100,PE,1578890497,95,-12.6,-69.18,75.54,2.13
240,Broken Hill,0,AU,1578890499,13,-31.95,141.43,91.4,5.82
242,Moerai,84,PF,1578890503,83,-22.43,-151.33,77.76,15.41
259,Grand Baie,75,MU,1578890539,94,-20.02,57.58,81.0,6.93
260,Kiama,47,AU,1578890541,50,-34.68,150.87,75.2,12.75
261,Kwakoa,74,TZ,1578890543,57,-3.77,37.72,78.64,5.26
263,Ancud,0,CL,1578890547,76,-41.87,-73.82,55.4,4.7
265,Villazon,100,BO,1578890551,77,-22.09,-65.59,50.9,15.82
279,Roebourne,89,AU,1578890580,44,-20.78,117.13,97.68,22.48
284,Tambun,40,ID,1578890591,74,-6.26,107.07,93.0,12.75
285,Faanui,100,PF,1578890593,78,-16.48,-151.75,80.67,11.59
288,Chimbote,59,PE,1578890599,80,-9.09,-78.58,69.17,3.69
290,Japura,98,ID,1578890603,56,-0.32,102.35,88.39,3.83
293,Teahupoo,90,PF,1578890610,70,-17.83,-149.27,84.2,2.24
296,East London,20,ZA,1578890616,94,-33.02,27.91,75.2,4.7
297,Manggar,97,ID,1578890618,78,-2.88,108.27,82.24,18.19
302,Bom Jesus,1,BR,1578890628,85,-9.07,-44.36,71.6,2.98
305,Jardim,52,BR,1578890634,91,-21.48,-56.14,72.68,3.71
310,Dzaoudzi,95,YT,1578890645,94,-12.79,45.27,78.8,8.05
312,Coquimbo,0,CL,1578890649,87,-29.95,-71.34,59.0,3.36
313,Boca do Acre,78,BR,1578890651,99,-8.75,-67.4,72.1,1.95
321,Henties Bay,61,NA,1578890668,86,-22.12,14.28,66.99,1.01
322,Mossamedes,98,AO,1578890670,75,-15.2,12.15,73.58,7.43
324,Boyolangu,87,ID,1578890674,54,-8.12,111.89,88.7,4.68
326,Manjacaze,1,MZ,1578890678,66,-24.71,33.88,83.16,6.11
327,Quatre Cocos,75,MU,1578890680,94,-20.21,57.76,82.0,6.93
329,Murray Bridge,0,AU,1578890684,22,-35.12,139.27,95.0,5.99
331,Port-Gentil,12,GA,1578890688,81,-0.72,8.78,80.06,8.72
333,Ambon,20,ID,1578890485,70,-3.7,128.18,89.6,4.7
334,Gawler,0,AU,1578890694,32,-34.6,138.73,95.0,10.29
336,Fare,100,PF,1578890699,78,-16.7,-151.02,80.87,13.31
337,General Roca,74,AR,1578890701,64,-39.03,-67.58,73.4,5.82
340,Carutapera,19,BR,1578890707,79,-1.2,-46.02,81.1,9.66
342,Atambua,100,ID,1578890711,66,-9.11,124.89,82.67,5.1
344,Tocopilla,0,CL,1578890715,77,-22.09,-70.2,52.38,1.23
345,Yeppoon,40,AU,1578890717,43,-23.13,150.73,89.6,13.87
353,Rio Gallegos,40,AR,1578890734,77,-51.62,-69.22,59.0,3.36
354,Flinders,47,AU,1578890736,50,-34.58,150.86,77.0,12.75
358,Tsabong,12,BW,1578890745,40,-26.02,22.4,84.74,7.85
359,Moron,0,AR,1578890686,68,-34.65,-58.62,78.8,8.05
367,San Juan,3,AR,1578890764,46,-31.54,-68.54,84.52,23.11
379,Port Pirie,0,AU,1578890789,22,-33.18,138.02,91.4,13.87
382,Kisanga,100,TZ,1578890795,70,-7.44,37.7,79.92,1.99
383,Biak,100,ID,1578890798,78,-0.91,122.88,83.5,11.9
386,Riwaka,82,NZ,1578890804,46,-41.08,173.0,70.0,4.0
387,Viedma,36,AR,1578890806,44,-40.81,-63.0,69.3,16.91
389,Terra Santa,94,BR,1578890810,90,-2.1,-56.49,73.85,1.52
390,El Alto,93,PE,1578890812,75,-4.27,-81.21,71.51,6.76
397,Mahebourg,75,MU,1578890827,94,-20.41,57.7,82.0,6.93
406,Fayaoue,66,NC,1578890846,80,-20.65,166.53,79.47,22.53
408,Buala,98,SB,1578890850,74,-8.14,159.59,84.92,10.13
409,Comodoro Rivadavia,28,AR,1578890852,59,-45.87,-67.5,62.6,2.24
410,Pimentel,53,PE,1578890854,29,-6.84,-79.93,66.2,16.11
412,Huarmey,0,PE,1578890858,86,-10.07,-78.15,66.09,1.23
413,Sao Jose da Coroa Grande,95,BR,1578890860,79,-8.9,-35.15,80.19,12.77
414,Ifanadiana,32,MG,1578890862,67,-21.3,47.63,78.04,3.44
421,Jacareacanga,75,BR,1578890877,97,-6.22,-57.75,70.56,1.5
424,Abaete,84,BR,1578890883,73,-19.16,-45.45,69.78,3.49
426,Wabag,92,PG,1578890887,96,-5.48,143.7,56.14,2.48
429,Aracoiaba,5,BR,1578890894,85,-4.37,-38.81,72.59,2.91
433,Saldanha,0,ZA,1578890902,80,-33.01,17.94,68.4,6.24
434,Richards Bay,0,ZA,1578890904,81,-28.78,32.04,77.72,5.86
437,Gizo,69,SB,1578890910,82,-8.1,156.84,81.19,11.03
442,Wewak,100,PG,1578890921,86,-3.55,143.63,78.53,11.88
448,Rawson,1,AR,1578890933,63,-43.3,-65.1,65.21,18.57
451,Balikpapan,20,ID,1578890940,74,-1.27,116.83,86.0,5.82
455,Sola,100,VU,1578890948,92,-13.88,167.55,79.34,16.78
459,Rio Grande,8,BR,1578890678,64,-32.03,-52.1,69.67,7.7
460,Ilhabela,51,BR,1578890667,82,-23.78,-45.36,78.84,4.29
463,Kaeo,92,NZ,1578890965,46,-35.1,173.78,78.01,10.0
465,Port Shepstone,59,ZA,1578890969,79,-30.74,30.45,77.86,1.72
468,Antalaha,44,MG,1578890975,67,-14.9,50.28,81.41,7.4
470,Correntina,23,BR,1578890979,80,-13.34,-44.64,69.13,1.43
471,Camana,100,PE,1578890981,88,-16.62,-72.71,61.88,4.56
476,Bambanglipuro,100,ID,1578890992,64,-7.95,110.28,85.17,15.12
485,Obidos,94,BR,1578891011,86,-1.92,-55.52,74.93,3.91
486,Gamba,15,GA,1578891013,88,-2.65,10.0,75.9,4.14
488,Waingapu,100,ID,1578891017,74,-9.66,120.26,84.13,16.31
490,Quelimane,40,MZ,1578891021,94,-17.88,36.89,78.8,2.24
491,Cururupu,35,BR,1578891023,98,-1.83,-44.87,72.77,1.43
494,Pringsewu,71,ID,1578891029,76,-5.36,104.97,82.83,3.09
496,Comarapa,83,BO,1578891034,96,-17.9,-64.48,60.13,1.54
499,Vanimo,100,PG,1578891040,90,-2.67,141.3,79.27,25.12
510,Kawalu,94,ID,1578891063,57,-7.38,108.21,84.51,7.05
512,Kupang,40,ID,1578891067,74,-10.17,123.58,87.8,8.05
518,Pontianak,75,ID,1578891080,62,-0.03,109.33,87.8,5.82
522,Kieta,41,PG,1578891088,68,-6.22,155.63,86.0,5.77
524,Christchurch,35,NZ,1578891093,59,-43.53,172.63,62.01,14.99
527,Araxa,81,BR,1578890816,83,-19.59,-46.94,73.4,3.36
533,Moranbah,60,AU,1578891112,40,-22.0,148.05,90.73,17.43
534,Luangwa,100,ZM,1578891114,92,-15.62,30.42,74.7,2.19
538,Rundu,97,NA,1578891122,82,-17.93,19.77,70.72,2.19
540,Kruisfontein,70,ZA,1578891126,81,-34.0,24.73,72.27,6.29
543,Santa Cruz de la Sierra,90,BO,1578890836,94,-17.8,-63.17,78.8,9.17
545,Iquique,90,CL,1578891132,68,-20.22,-70.14,71.6,6.93
550,Salinopolis,61,BR,1578891147,77,-0.61,-47.36,80.4,9.48
557,Tsaratanana,27,MG,1578891162,71,-16.78,47.65,76.42,4.16
559,Puerto Leguizamo,100,CO,1578891166,97,-0.19,-74.78,71.55,1.81
563,Bairnsdale,1,AU,1578891049,35,-37.83,147.62,82.99,10.0
564,Oranjemund,82,NA,1578891177,83,-28.55,16.43,65.93,10.71
